timestamp,lstm_cpu,lstm_mem,lstm_rtt,lstm_pkt_in,lstm_pkt_out,lstm_flow_mod,lstm_flows_sec,lstm_bw,if_cpu,if_mem,if_rtt,if_pkt_in,if_pkt_out,if_flow_mod,if_table_occ,if_link_loss,if_bw,if_churn,if_zscore_avg,if_ratio_pkt_flow
1764658153.2195427,2.2,31.0,0.005,1.98205318076631,1.98205318076631,0,0,0,2.2,31.0,0.005,1.98205318076631,1.98205318076631,0,0,0,0,0,-0.04354691441125088,198205.318076631
1764658154.2311242,2.0,31.0,0.005,0,0,0,0,0,2.0,31.0,0.005,0,0,0,0,0,0,0,-0.1622920289343803,0.0
1764658155.2459223,2.5,31.1,0.005,1.9708352559409752,1.9708352559409752,0,0,0,2.5,31.1,0.005,1.9708352559409752,1.9708352559409752,0,0,0,0,0,0.2096786799668138,197083.5255940975
1764658156.2576892,1.7,31.1,0.005,0,0,0,0,0,1.7,31.1,0.005,0,0,0,0,0,0,0,-0.38443707817375045,0.0
1764658157.2704847,1.5,31.1,0.005,0,0,0,0,0,1.5,31.1,0.005,0,0,0,0,0,0,0,-0.523575471284966,0.0
1764658158.286851,1.7,31.1,0.005,0,0,0,0,0,1.7,31.1,0.005,0,0,0,0,0,0,0,-0.3576908501615393,0.0
1764658159.2984257,1.7,31.1,0.005,0,0,0,0,0,1.7,31.1,0.005,0,0,0,0,0,0,0,-0.3393397048728765,0.0
1764658160.3159573,1.5,31.1,0.005,0,0,0,0,0,1.5,31.1,0.005,0,0,0,0,0,0,0,-0.47193841755006755,0.0
1764658161.3294425,1.3,31.1,0.005,0,0,0,0,0,1.3,31.1,0.005,0,0,0,0,0,0,0,-0.6310641865246354,0.0
1764658162.3431773,1.5,31.1,0.005,0,0,0,0,0,1.5,31.1,0.005,0,0,0,0,0,0,0,-0.4588221157856624,0.0
1764658163.3576715,2.0,31.1,0.005,0,0,0,0,0,2.0,31.1,0.005,0,0,0,0,0,0,0,-0.029410508356606663,0.0
1764658164.3724663,2.2,31.1,0.005,0,0,0,0,0,2.2,31.1,0.005,0,0,0,0,0,0,0,0.13905959547622548,0.0
1764658165.3888018,2.2,31.2,0.005,0,0,0,0,0,2.2,31.2,0.005,0,0,0,0,0,0,0,0.13095412089433037,0.0
1764658166.395561,2.0,31.2,0.005,0,0,0,0,0,2.0,31.2,0.005,0,0,0,0,0,0,0,0.15559102193895216,0.0
1764658167.402505,2.5,31.2,0.005,0,0,0,0,0,2.5,31.2,0.005,0,0,0,0,0,0,0,0.8700500611558049,0.0
1764658168.4072049,1.5,31.2,0.005,0,0,0,0,0,1.5,31.2,0.005,0,0,0,0,0,0,0,-0.589525828520784,0.0
1764658169.4125938,1.0,31.2,0.005,0,0,0,0,0,1.0,31.2,0.005,0,0,0,0,0,0,0,-1.3260674271254869,0.0
1764658170.4247751,2.0,31.2,0.005,0,0,0,0,0,2.0,31.2,0.005,0,0,0,0,0,0,0,0.20116342521593292,0.0
1764658171.4306877,1.5,31.2,0.005,0,0,0,0,0,1.5,31.2,0.005,0,0,0,0,0,0,0,-0.5331987202040749,0.0
1764658172.4359853,1.8,31.2,0.005,0,0,0,0,0,1.8,31.2,0.005,0,0,0,0,0,0,0,-0.03263376665824191,0.0
1764658173.443178,1.0,31.2,0.005,0,0,0,0,0,1.0,31.2,0.005,0,0,0,0,0,0,0,-1.3379844329879165,0.0
1764658174.4491696,1.5,31.2,0.005,0,0,0,0,0,1.5,31.2,0.005,0,0,0,0,0,0,0,-0.49998665096820294,0.0
1764658175.455246,1.3,31.2,0.005,0,0,0,0,0,1.3,31.2,0.005,0,0,0,0,0,0,0,-0.8167234764762121,0.0
1764658176.4610868,59.0,32.1,0.005,9171.431700278894,9170.437507140652,0,0,0,59.0,32.1,0.005,9171.431700278894,9170.437507140652,0,0,0,0,0,6.979566093396885,917143170.0278894
1764658177.4673772,88.1,32.3,0.005,14459.046297665214,14459.046297665214,0,0,0,88.1,32.3,0.005,14459.046297665214,14459.046297665214,0,0,0,0,0,5.805440305106328,1445904629.7665212
1764658178.4763973,85.8,32.7,0.005,14152.344576746926,14152.344576746926,0,0,0,85.8,32.7,0.005,14152.344576746926,14152.344576746926,0,0,0,0,0,4.340255897220274,1415234457.6746924
1764658179.480385,88.6,33.1,0.005,14683.44551523024,14683.44551523024,0,0,0,88.6,33.1,0.005,14683.44551523024,14683.44551523024,0,0,0,0,0,3.7258580708554017,1468344551.5230238
1764658180.4843898,86.8,33.5,0.005,14350.530189610745,14350.530189610745,0,0,0,86.8,33.5,0.005,14350.530189610745,14350.530189610745,0,0,0,0,0,3.178247674864986,1435053018.9610744
1764658181.4897435,91.0,33.7,0.005,14377.0298506507,14377.0298506507,0,0,0,91.0,33.7,0.005,14377.0298506507,14377.0298506507,0,0,0,0,0,2.9711949876324537,1437702985.06507
1764658182.498399,92.1,34.1,0.005,13681.57843978927,13681.57843978927,0,0,0,92.1,34.1,0.005,13681.57843978927,13681.57843978927,0,0,0,0,0,2.7175660146320384,1368157843.978927
1764658183.5032723,90.6,34.6,0.005,13205.645249153922,13205.645249153922,0,0,0,90.6,34.6,0.005,13205.645249153922,13205.645249153922,0,0,0,0,0,2.4445261200652078,1320564524.9153922
